	mutant	strain	phenotype	date	scope	videoname	img_folder	processed	error
373	ABC	MXAN_5379	Pulsatile	04.16.12	mic3	ABC Transporters--MXAN_5379--MXAN_5379-mic3-4.16.12	/mnt/SeagateBackup_USB/Mutant_Movies/ABC Transporters/MXAN_5379/MXAN_5379-mic3-4.16.12	False	0
374	ABC	MXAN_5379	Pulsatile	04.16.12	mic6	ABC Transporters--MXAN_5379--MXAN_5379-mic6-4.16.12	/mnt/SeagateBackup_USB/Mutant_Movies/ABC Transporters/MXAN_5379/MXAN_5379-mic6-4.16.12	False	0
375	ABC	MXAN_5379	Pulsatile	04.16.12	mic8	ABC Transporters--MXAN_5379--MXAN_5379-mic8-4.16.12	/mnt/SeagateBackup_USB/Mutant_Movies/ABC Transporters/MXAN_5379/MXAN_5379-mic8-4.16.12	False	0
376	ABC	MXAN_5379	Pulsatile			ABC Transporters--MXAN_5379--test	/mnt/SeagateBackup_USB/Mutant_Movies/ABC Transporters/MXAN_5379/test	False	0
377	ABC	MXAN_5503	LWT	04.19.12	mic4	ABC Transporters--MXAN_5503--MXAN_5503-mic4-4.19.12	/mnt/SeagateBackup_USB/Mutant_Movies/ABC Transporters/MXAN_5503/MXAN_5503-mic4-4.19.12	False	0
378	ABC	MXAN_5503	LWT	04.19.12	mic5	ABC Transporters--MXAN_5503--MXAN_5503-mic5-4.19.12	/mnt/SeagateBackup_USB/Mutant_Movies/ABC Transporters/MXAN_5503/MXAN_5503-mic5-4.19.12	False	0
379	ABC	MXAN_5503	LWT	04.19.12	mic7	ABC Transporters--MXAN_5503--MXAN_5503-mic7-4.19.12	/mnt/SeagateBackup_USB/Mutant_Movies/ABC Transporters/MXAN_5503/MXAN_5503-mic7-4.19.12	False	0
380	ABC	MXAN_5503	LWT			ABC Transporters--MXAN_5503--test	/mnt/SeagateBackup_USB/Mutant_Movies/ABC Transporters/MXAN_5503/test	False	0
381	ABC	MXAN_5584	Late normal	02.17.12	mic4	ABC Transporters--MXAN_5584--MXAN_5584-mic4-2.17.12	/mnt/SeagateBackup_USB/Mutant_Movies/ABC Transporters/MXAN_5584/MXAN_5584-mic4-2.17.12	False	0
382	ABC	MXAN_5584	Late normal	02.17.12	mic5	ABC Transporters--MXAN_5584--MXAN_5584-mic5-2.17.12	/mnt/SeagateBackup_USB/Mutant_Movies/ABC Transporters/MXAN_5584/MXAN_5584-mic5-2.17.12	False	0
383	ABC	MXAN_5584	Late normal	02.17.12	mic7	ABC Transporters--MXAN_5584--MXAN_5584-mic7-2.17.12	/mnt/SeagateBackup_USB/Mutant_Movies/ABC Transporters/MXAN_5584/MXAN_5584-mic7-2.17.12	False	0
384	ABC	MXAN_5584	Late normal			ABC Transporters--MXAN_5584--test	/mnt/SeagateBackup_USB/Mutant_Movies/ABC Transporters/MXAN_5584/test	False	0
385	ABC	MXAN_6000	Late normal	04.20.12	mic5	ABC Transporters--MXAN_6000--MXAN_6000-mic5-4.20.12	/mnt/SeagateBackup_USB/Mutant_Movies/ABC Transporters/MXAN_6000/MXAN_6000-mic5-4.20.12	False	0
